osm_id,railway,name,place,website,wikidata,highway,bicycle,crossing,lcn,power,traffic_signals,traffic_signals:direction,stop,barrier,addr:city,addr:housenumber,addr:street,amenity,building,man_made,pipeline,religion,direction,crossing:island,leisure,seamark:harbour:category,seamark:name,seamark:type,entrance,material,brand,brand:wikidata,brand:wikipedia,addr:postcode,description,office,operator,emergency,cuisine,smoking,takeaway,facebook,opening_hours,phone,addr:country,addr:province,addr:unit,shop,official_name,healthcare,beauty,pet,alt_name,ford,dispensing,outdoor_seating,opening_hours:covid19,dance:teaching,bench,bus,network,public_transport,shelter,tactile_paving,bicycle_parking,covered,fee,cycleway,cycleway:both,lanes,surface,oneway,ref,bridge,layer,cycleway:right,usage,service,landuse,lit,source_ref,foot,boat,waterway,segregated,sidewalk,fax,isced:level,operator:type,school:language,start_date,maxspeed,validate:no_name,maxspeed:type,old_ref,natural,water,tunnel,junction,mtb:scale,mtb:scale:uphill,sac_scale,trail_visibility,parking,footway,access,building:levels,addr:interpolation,location,substance,cables,voltage,sport,wheelchair,turn:lanes:backward,turn:lanes:forward,turn:lanes,admin_level,boundary,drive_through,internet_access,internet_access:fee,roof:levels,lanes:backward,lanes:forward,tracktype,leaf_cycle,leaf_type,delivery,motor_vehicle,industrial,traffic_calming,horse,supervised,denomination,cycleway:left,drive_in,golf,golf_cart,disused:amenity,handicap,par,fence_type,height,incline,width,type,route,name:ar,name:bn,name:en,name:es,name:fr,name:ja,name:ko,name:sv,name:vi,name:zh,note,wikipedia,source:date,restriction,population,population:date,political_division,WKT
"256343365","buffer_stop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.086673 42.2601883)"
"256343371","switch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0836822 42.2668685)"
"256659574",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.1026332 42.2612534)"
"256659758",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.1050849 42.2479046)"
"258276386",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0744449 42.2496248)"
"258280816",,,,,,"crossing","yes","traffic_signals","yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.057722 42.2515227)"
"260021642",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0685302 42.2459727)"
"260021660",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0786143 42.2432795)"
"260021670",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0668443 42.2421447)"
"260021939",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0724527 42.2428721)"
"260023088",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0998498 42.2431834)"
"260023266",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0938137 42.2383156)"
"260231148",,,,,,"turning_circle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0877254 42.2276904)"
