lat,lon
42.2547374,-83.0172501
42.253266,-83.0163441
42.2508491,-83.0148178
42.2453243,-83.0113122
42.2430218,-83.0098301
42.2456973,-83.0102814
42.2450995,-83.0122883
42.245066,-83.0126684
